date,game_id,home,away,home_score,away_score
2026-06-25,NPB20260625EL02,楽天,西武,2,0
2026-06-25,NPB20260625SHB03,ソフトバンク,オリックス,5,2
2026-06-26,NPB20260626LF01,西武,日本ハム,4,3
2026-06-27,NPB20260627BE03,オリックス,楽天,1,5
2026-06-27,NPB20260627LF02,西武,日本ハム,2,4
2026-06-28,NPB20260628BE06,オリックス,楽天,5,2
2026-06-28,NPB20260628LF04,西武,日本ハム,1,5
2026-06-28,NPB20260628MSH05,ロッテ,ソフトバンク,3,3
2026-06-30,NPB20260630EM05,楽天,ロッテ,2,5
2026-06-30,NPB20260630FB04,日本ハム,オリックス,9,2
2026-06-30,NPB20260630SHL06,ソフトバンク,西武,6,0
2026-07-01,NPB20260701EM03,楽天,ロッテ,0,5
2026-07-01,NPB20260701FB02,日本ハム,オリックス,6,0
2026-07-01,NPB20260701SHL04,ソフトバンク,西武,11,0
2026-07-02,NPB20260702FB03,日本ハム,オリックス,9,1
2026-07-02,NPB20260702SHL04,ソフトバンク,西武,3,1
2026-07-03,NPB20260703BL05,オリックス,西武,4,4
2026-07-03,NPB20260703EF04,楽天,日本ハム,8,0
2026-07-03,NPB20260703SHM06,ソフトバンク,ロッテ,3,2
2026-07-04,NPB20260704EF03,楽天,日本ハム,4,1
2026-07-04,NPB20260704SHM04,ソフトバンク,ロッテ,1,8
2026-07-05,NPB20260705BL05,オリックス,西武,3,1
2026-07-05,NPB20260705EF04,楽天,日本ハム,3,6
2026-07-05,NPB20260705SHM06,ソフトバンク,ロッテ,7,2
2026-07-07,NPB20260707BSH06,オリックス,ソフトバンク,3,6
2026-07-07,NPB20260707LE04,西武,楽天,6,1
2026-07-07,NPB20260707MF05,ロッテ,日本ハム,10,2
2026-07-08,NPB20260708BSH06,オリックス,ソフトバンク,3,2
2026-07-08,NPB20260708LE04,西武,楽天,2,5
2026-07-08,NPB20260708MF05,ロッテ,日本ハム,2,7
2026-07-10,NPB20260710FL04,日本ハム,西武,1,2
2026-07-10,NPB20260710MB05,ロッテ,オリックス,8,6
2026-07-10,NPB20260710SHE06,ソフトバンク,楽天,3,5
2026-07-11,NPB20260711FL04,日本ハム,西武,8,2
2026-07-11,NPB20260711MB05,ロッテ,オリックス,3,8
2026-07-11,NPB20260711SHE06,ソフトバンク,楽天,9,2
2026-07-12,NPB20260712FL04,日本ハム,西武,1,12
2026-07-12,NPB20260712MB05,ロッテ,オリックス,2,7
2026-07-12,NPB20260712SHE06,ソフトバンク,楽天,3,0
2026-07-14,NPB20260714EB05,楽天,オリックス,3,1
2026-07-14,NPB20260714FSH04,日本ハム,ソフトバンク,2,4
2026-07-14,NPB20260714LM06,西武,ロッテ,2,1
2026-07-15,NPB20260715EB05,楽天,オリックス,3,2
2026-07-15,NPB20260715FSH04,日本ハム,ソフトバンク,7,6
2026-07-15,NPB20260715LM06,西武,ロッテ,7,3
2026-07-16,NPB20260716EB04,楽天,オリックス,12,8
2026-07-16,NPB20260716FSH03,日本ハム,ソフトバンク,2,6
2026-07-16,NPB20260716LM05,西武,ロッテ,3,4
2026-07-18,NPB20260718BF06,オリックス,日本ハム,0,7
2026-07-18,NPB20260718EL04,楽天,西武,3,2
2026-07-18,NPB20260718MSH05,ロッテ,ソフトバンク,4,5
