シーズン,日付,ゲームタイプ,球団,ホーム・ビジター,結果,スコア,対戦球団,R,H,E,ボックススコア,回戦,球場,試合開始,試合時間,入場者,GameID
2025,2025-04-04,公式戦,阪神タイガース,ビジター,W,7,読売ジャイアンツ,7,13,0,"1,0,2,0,0,0,3,1,0",1,東京ドーム,18:00,03:03,41570,GAME20250404YGHT0035
2025,2025-04-04,公式戦,読売ジャイアンツ,ホーム,L,2,阪神タイガース,2,6,0,"1,0,0,0,0,0,0,0,1",1,東京ドーム,18:00,03:03,41570,GAME20250404YGHT0035
2025,2025-04-04,公式戦,中日ドラゴンズ,ビジター,T,1,東京ヤクルトスワローズ,1,6,1,"0,1,0,0,0,0,0,0,0,0,0,0",1,神　宮,18:00,04:25,28728,GAME20250404YSCD0033
2025,2025-04-04,公式戦,東京ヤクルトスワローズ,ホーム,T,1,中日ドラゴンズ,1,4,0,"0,0,0,0,0,0,0,1,0,0,0,0",1,神　宮,18:00,04:25,28728,GAME20250404YSCD0033
2025,2025-04-05,公式戦,横浜DeNAベイスターズ,ビジター,L,7,広島東洋カープ,7,11,4,"2,0,0,0,0,0,0,0,5,0,0",2,マツダスタジアム,14:01,03:58,30627,GAME20250405HCDB0042
2025,2025-04-05,公式戦,広島東洋カープ,ホーム,W,8,横浜DeNAベイスターズ,8,9,0,"0,2,0,2,0,0,0,2,1,0,1x",2,マツダスタジアム,14:01,03:58,30627,GAME20250405HCDB0042
2025,2025-04-05,公式戦,東北楽天ゴールデンイーグルス,ビジター,L,0,千葉ロッテマリーンズ,0,5,1,"0,0,0,0,0,0,0,0,0",2,ZOZOマリン,14:00,02:46,24892,GAME20250405LMRE0040
2025,2025-04-05,公式戦,千葉ロッテマリーンズ,ホーム,W,1,東北楽天ゴールデンイーグルス,1,4,0,"0,0,0,0,0,0,0,1,x",2,ZOZOマリン,14:00,02:46,24892,GAME20250405LMRE0040
2025,2025-04-05,公式戦,オリックス・バファローズ,ビジター,W,11,北海道日本ハムファイターズ,11,16,1,"3,0,0,2,2,1,2,0,1",2,エスコンＦ,14:01,03:16,31811,GAME20250405NFOB0043
2025,2025-04-05,公式戦,北海道日本ハムファイターズ,ホーム,L,1,オリックス・バファローズ,1,6,2,"1,0,0,0,0,0,0,0,0",2,エスコンＦ,14:01,03:16,31811,GAME20250405NFOB0043
2025,2025-04-05,公式戦,埼玉西武ライオンズ,ビジター,W,6,福岡ソフトバンクホークス,6,9,0,"0,0,2,0,0,0,4,0,0",2,みずほPayPay,14:02,03:08,40142,GAME20250405SHSL0038
2025,2025-04-05,公式戦,福岡ソフトバンクホークス,ホーム,L,3,埼玉西武ライオンズ,3,7,1,"0,0,0,0,2,0,0,0,1",2,みずほPayPay,14:02,03:08,40142,GAME20250405SHSL0038
2025,2025-04-05,公式戦,阪神タイガース,ビジター,W,4,読売ジャイアンツ,4,7,0,"1,0,2,0,0,0,0,1,0",2,東京ドーム,14:00,02:47,41667,GAME20250405YGHT0041
2025,2025-04-05,公式戦,読売ジャイアンツ,ホーム,L,3,阪神タイガース,3,6,0,"1,0,0,0,0,0,0,0,2",2,東京ドーム,14:00,02:47,41667,GAME20250405YGHT0041
2025,2025-04-05,公式戦,中日ドラゴンズ,ビジター,L,0,東京ヤクルトスワローズ,0,3,0,"0,0,0,0,0,0,0,0,0",2,神　宮,14:00,02:37,28183,GAME20250405YSCD0039
2025,2025-04-05,公式戦,東京ヤクルトスワローズ,ホーム,W,2,中日ドラゴンズ,2,5,1,"0,2,0,0,0,0,0,0,x",2,神　宮,14:00,02:37,28183,GAME20250405YSCD0039
2025,2025-04-06,公式戦,横浜DeNAベイスターズ,ビジター,L,6,広島東洋カープ,6,10,1,"0,0,0,0,3,0,0,1,2",3,マツダスタジアム,13:30,03:16,29812,GAME20250406HCDB0048
2025,2025-04-06,公式戦,広島東洋カープ,ホーム,W,7,横浜DeNAベイスターズ,7,13,0,"0,1,4,0,0,0,0,2,x",3,マツダスタジアム,13:30,03:16,29812,GAME20250406HCDB0048
