date,game_id,home,away,home_score,away_score,stadium,start_time,home_elo_before,away_elo_before,home_expected_win_rate,home_elo_change,home_elo_after,away_elo_after
2025-05-13,GAME20250513HCYG0209,広島,巨人,5,4,マツダスタジアム,18:01,1506.0053309813948,1514.3995701240578,0.5382140995555916,9.235718008888167,1515.241048990283,1505.1638521151697
2025-05-14,GAME20250514CDYS0213,中日,ヤクルト,2,0,バンテリンドーム,18:00,1479.9381630722103,1448.6602910724773,0.5942411269404982,8.115177461190035,1488.0533405334004,1440.5451136112872
2025-05-14,GAME20250514HCYG0214,広島,巨人,3,0,マツダスタジアム,18:00,1515.241048990283,1505.1638521151697,0.564509739309986,8.70980521380028,1523.9508542040833,1496.4540469013693
2025-05-15,GAME20250515DBHT0218,DeNA,阪神,1,0,横　浜,18:00,1509.80837750161,1541.18826724825,0.505209568913746,9.89580862172508,1519.7041861233351,1531.2924586265249
2025-05-15,GAME20250515HCYG0219,広島,巨人,5,1,マツダスタジアム,18:01,1523.9508542040833,1496.4540469013693,0.5889824668269042,8.220350663461915,1532.1712048675452,1488.2336962379075
2025-05-16,GAME20250516YGCD0225,巨人,中日,4,2,東京ドーム,18:00,1488.2336962379075,1488.0533405334004,0.550456276297604,8.99087447404792,1497.2245707119553,1479.0624660593526
2025-05-16,GAME20250516YSDB0223,ヤクルト,DeNA,6,8,神　宮,18:01,1440.5451136112872,1519.7041861233351,0.4367899937897577,-8.735799875795154,1431.809313735492,1528.4399859991304
2025-05-16,GAME20250516HTHC0226,阪神,広島,2,4,甲子園,18:02,1531.2924586265249,1532.1712048675452,0.5489471676750453,-10.978943353500906,1520.313515273024,1543.150148221046
2025-05-17,GAME20250517HTHC0231,阪神,広島,5,2,甲子園,14:01,1520.313515273024,1543.150148221046,0.5174973444504843,9.650053110990314,1529.9635683840143,1533.5000951100558
2025-05-17,GAME20250517YSDB0229,ヤクルト,DeNA,7,6,神　宮,18:00,1431.809313735492,1528.4399859991304,0.41222505736501536,11.755498852699693,1443.5648125881917,1516.6844871464307
2025-05-17,GAME20250517YGCD0230,巨人,中日,1,0,東京ドーム,18:01,1497.2245707119553,1479.0624660593526,0.5759148780499357,8.481702439001285,1505.7062731509566,1470.5807636203513
2025-05-18,GAME20250518YGCD0236,巨人,中日,4,7,東京ドーム,14:00,1505.7062731509566,1470.5807636203513,0.5995702689675191,-11.991405379350383,1493.7148677716061,1482.5721689997017
2025-05-18,GAME20250518HTHC0237,阪神,広島,3,1,甲子園,14:01,1529.9635683840143,1533.5000951100558,0.5451562038532172,9.096875922935656,1539.0604443069499,1524.4032191871202
2025-05-18,GAME20250518YSDB0234,ヤクルト,DeNA,2,10,神　宮,18:00,1443.5648125881917,1516.6844871464307,0.4453604507495851,-8.907209014991702,1434.6576035732,1525.5916961614223
2025-05-20,GAME20250520DBCD0240,DeNA,中日,10,2,横　浜,17:30,1525.5916961614223,1482.5721689997017,0.6104291535083688,7.791416929832624,1533.383113091255,1474.780752069869
2025-05-20,GAME20250520HCYS0241,広島,ヤクルト,3,2,マツダスタジアム,18:00,1524.4032191871202,1434.6576035732,0.6721870519043446,6.556258961913109,1530.9594781490332,1428.101344611287
2025-05-20,GAME20250520HTYG0244,阪神,巨人,4,0,甲子園,18:02,1539.0604443069499,1493.7148677716061,0.6136085755337564,7.727828489324873,1546.7882727962747,1485.9870392822813
2025-05-21,GAME20250521DBCD0246,DeNA,中日,5,6,横　浜,17:30,1533.383113091255,1474.780752069869,0.6315375286184193,-12.630750572368385,1520.7523625188865,1487.4115026422376
2025-05-21,GAME20250521HTYG0248,阪神,巨人,4,5,甲子園,18:00,1546.7882727962747,1485.9870392822813,0.6344780198899671,-12.689560397799342,1534.0987123984753,1498.6765996800807
2025-05-22,GAME20250522DBCD0250,DeNA,中日,4,0,横　浜,17:30,1520.7523625188865,1487.4115026422376,0.5971012994781014,8.057974010437972,1528.8103365293243,1479.3535286317997
2025-05-22,GAME20250522HCYS0251,広島,ヤクルト,2,2,マツダスタジアム,18:00,1530.9594781490332,1428.101344611287,0.6885984810989649,-3.7719696219792986,1527.187508527054,1431.8733142332662
2025-05-22,GAME20250522HTYG0254,阪神,巨人,2,3,甲子園,18:00,1534.0987123984753,1498.6765996800807,0.5999801180668617,-11.999602361337233,1522.099110037138,1510.676202041418
2025-05-23,GAME20250523CDHT0256,中日,阪神,0,3,バンテリンドーム,18:00,1479.3535286317997,1522.099110037138,0.4888550586218095,-9.77710117243619,1469.5764274593635,1531.8762112095742
2025-05-23,GAME20250523YGYS0257,巨人,ヤクルト,5,0,東京ドーム,18:00,1510.676202041418,1431.8733142332662,0.6581592825193303,6.836814349613394,1517.5130163910314,1425.0364998836528
2025-05-23,GAME20250523HCDB0258,広島,DeNA,1,2,マツダスタジアム,18:01,1527.187508527054,1528.8103365293243,0.5478863891555429,-10.957727783110858,1516.2297807439431,1539.7680643124352
