date,game_id,home,away,home_score,away_score,stadium,start_time
2025-05-16,GAME20250516YSDB0223,ヤクルト,DeNA,6,8,神　宮,18:01
2025-05-16,GAME20250516HTHC0226,阪神,広島,2,4,甲子園,18:02
2025-05-17,GAME20250517HTHC0231,阪神,広島,5,2,甲子園,14:01
2025-05-17,GAME20250517YSDB0229,ヤクルト,DeNA,7,6,神　宮,18:00
2025-05-17,GAME20250517YGCD0230,巨人,中日,1,0,東京ドーム,18:01
2025-05-18,GAME20250518YGCD0236,巨人,中日,4,7,東京ドーム,14:00
2025-05-18,GAME20250518HTHC0237,阪神,広島,3,1,甲子園,14:01
2025-05-18,GAME20250518YSDB0234,ヤクルト,DeNA,2,10,神　宮,18:00
2025-05-20,GAME20250520DBCD0240,DeNA,中日,10,2,横　浜,17:30
2025-05-20,GAME20250520HCYS0241,広島,ヤクルト,3,2,マツダスタジアム,18:00
2025-05-20,GAME20250520HTYG0244,阪神,巨人,4,0,甲子園,18:02
2025-05-21,GAME20250521DBCD0246,DeNA,中日,5,6,横　浜,17:30
2025-05-21,GAME20250521HTYG0248,阪神,巨人,4,5,甲子園,18:00
2025-05-22,GAME20250522DBCD0250,DeNA,中日,4,0,横　浜,17:30
2025-05-22,GAME20250522HCYS0251,広島,ヤクルト,2,2,マツダスタジアム,18:00
2025-05-22,GAME20250522HTYG0254,阪神,巨人,2,3,甲子園,18:00
2025-05-23,GAME20250523CDHT0256,中日,阪神,0,3,バンテリンドーム,18:00
2025-05-23,GAME20250523YGYS0257,巨人,ヤクルト,5,0,東京ドーム,18:00
2025-05-23,GAME20250523HCDB0258,広島,DeNA,1,2,マツダスタジアム,18:01
2025-05-24,GAME20250524CDHT0261,中日,阪神,5,4,バンテリンドーム,14:00
2025-05-24,GAME20250524YGYS0262,巨人,ヤクルト,4,2,東京ドーム,18:00
2025-05-25,GAME20250525CDHT0266,中日,阪神,1,5,バンテリンドーム,13:31
2025-05-25,GAME20250525HCDB0268,広島,DeNA,3,0,マツダスタジアム,13:31
2025-05-25,GAME20250525YGYS0267,巨人,ヤクルト,5,2,東京ドーム,14:01
2025-05-27,GAME20250527YSCD0271,ヤクルト,中日,2,1,神　宮,18:00
2025-05-27,GAME20250527YGHC0273,巨人,広島,1,2,富　山,18:01
2025-05-27,GAME20250527HTDB0274,阪神,DeNA,1,0,倉　敷,18:02
2025-05-28,GAME20250528YGHC0279,巨人,広島,4,1,金　沢,18:00
2025-05-28,GAME20250528YSCD0277,ヤクルト,中日,1,4,神　宮,18:01
2025-05-28,GAME20250528HTDB0280,阪神,DeNA,1,0,甲子園,18:02
2025-05-29,GAME20250529HTDB0283,阪神,DeNA,1,5,甲子園,18:00
2025-05-29,GAME20250529YSCD0282,ヤクルト,中日,0,6,神　宮,18:00
2025-05-30,GAME20250530CDYG0286,中日,巨人,1,4,バンテリンドーム,18:00
2025-05-30,GAME20250530DBYS0285,DeNA,ヤクルト,6,2,横　浜,18:01
2025-05-30,GAME20250530HCHT0287,広島,阪神,2,5,マツダスタジアム,18:01
2025-05-31,GAME20250531HCHT0293,広島,阪神,0,2,マツダスタジアム,14:00
2025-05-31,GAME20250531CDYG0292,中日,巨人,4,2,バンテリンドーム,14:01
2025-05-31,GAME20250531DBYS0291,DeNA,ヤクルト,5,2,横　浜,14:41
2025-06-01,GAME20250601CDYG0297,中日,巨人,4,1,バンテリンドーム,13:30
2025-06-01,GAME20250601HCHT0298,広島,阪神,0,8,マツダスタジアム,13:30
2025-06-01,GAME20250601DBYS0296,DeNA,ヤクルト,3,2,横　浜,14:00
2025-06-27,GAME20250627CDHC0412,中日,広島,3,2,バンテリンドーム,18:00
2025-06-27,GAME20250627YGDB0413,巨人,DeNA,4,0,東京ドーム,18:00
2025-06-27,GAME20250627YSHT0410,ヤクルト,阪神,4,3,神　宮,18:00
2025-06-28,GAME20250628YGDB0419,巨人,DeNA,5,0,東京ドーム,14:00
2025-06-28,GAME20250628YSHT0416,ヤクルト,阪神,0,2,神　宮,14:00
2025-06-28,GAME20250628CDHC0418,中日,広島,1,2,バンテリンドーム,14:03
2025-06-29,GAME20250629CDHC0424,中日,広島,1,2,バンテリンドーム,13:30
2025-06-29,GAME20250629YSHT0422,ヤクルト,阪神,0,6,神　宮,13:31
2025-06-29,GAME20250629YGDB0425,巨人,DeNA,1,0,東京ドーム,14:00
2025-07-01,GAME20250701HCYS0429,広島,ヤクルト,2,2,マツダスタジアム,18:00
