日付,ゲームタイプ,球団,ホーム・ビジター,スコア,対戦球団,GameID
2026-04-26,公式戦,オリックス,ホーム,9,日本ハム,NPB20260426BF05
2026-04-26,公式戦,日本ハム,ビジター,4,オリックス,NPB20260426BF05
2026-04-26,公式戦,中日,ホーム,3,ヤクルト,NPB20260426CDYS02
2026-04-26,公式戦,ヤクルト,ビジター,0,中日,NPB20260426CDYS02
2026-04-26,公式戦,DeNA,ホーム,1,巨人,NPB20260426DBYG01
2026-04-26,公式戦,巨人,ビジター,4,DeNA,NPB20260426DBYG01
2026-04-26,公式戦,楽天,ホーム,0,西武,NPB20260426EL04
2026-04-26,公式戦,西武,ビジター,3,楽天,NPB20260426EL04
2026-04-26,公式戦,阪神,ホーム,1,広島,NPB20260426HTHC03
2026-04-26,公式戦,広島,ビジター,0,阪神,NPB20260426HTHC03
2026-04-28,公式戦,オリックス,ホーム,1,ソフトバンク,NPB20260428BSH06
2026-04-28,公式戦,ソフトバンク,ビジター,7,オリックス,NPB20260428BSH06
2026-04-28,公式戦,中日,ホーム,3,DeNA,NPB20260428CDDB03
2026-04-28,公式戦,DeNA,ビジター,0,中日,NPB20260428CDDB03
2026-04-28,公式戦,西武,ホーム,1,日本ハム,NPB20260428LF04
2026-04-28,公式戦,日本ハム,ビジター,2,西武,NPB20260428LF04
2026-04-28,公式戦,ロッテ,ホーム,3,楽天,NPB20260428ME05
2026-04-28,公式戦,楽天,ビジター,1,ロッテ,NPB20260428ME05
2026-04-28,公式戦,巨人,ホーム,1,広島,NPB20260428YGHC01
2026-04-28,公式戦,広島,ビジター,11,巨人,NPB20260428YGHC01
2026-04-28,公式戦,ヤクルト,ホーム,10,阪神,NPB20260428YSHT02
2026-04-28,公式戦,阪神,ビジター,5,ヤクルト,NPB20260428YSHT02
2026-04-29,公式戦,オリックス,ホーム,5,ソフトバンク,NPB20260429BSH06
2026-04-29,公式戦,ソフトバンク,ビジター,4,オリックス,NPB20260429BSH06
2026-04-29,公式戦,中日,ホーム,2,DeNA,NPB20260429CDDB03
2026-04-29,公式戦,DeNA,ビジター,4,中日,NPB20260429CDDB03
2026-04-29,公式戦,西武,ホーム,3,日本ハム,NPB20260429LF04
2026-04-29,公式戦,日本ハム,ビジター,0,西武,NPB20260429LF04
2026-04-29,公式戦,ロッテ,ホーム,5,楽天,NPB20260429ME05
2026-04-29,公式戦,楽天,ビジター,3,ロッテ,NPB20260429ME05
2026-04-29,公式戦,巨人,ホーム,4,広島,NPB20260429YGHC01
2026-04-29,公式戦,広島,ビジター,2,巨人,NPB20260429YGHC01
2026-04-29,公式戦,ヤクルト,ホーム,0,阪神,NPB20260429YSHT02
2026-04-29,公式戦,阪神,ビジター,2,ヤクルト,NPB20260429YSHT02
2026-04-30,公式戦,中日,ホーム,2,DeNA,NPB20260430CDDB03
2026-04-30,公式戦,DeNA,ビジター,6,中日,NPB20260430CDDB03
2026-04-30,公式戦,西武,ホーム,2,日本ハム,NPB20260430LF04
2026-04-30,公式戦,日本ハム,ビジター,3,西武,NPB20260430LF04
2026-04-30,公式戦,巨人,ホーム,2,広島,NPB20260430YGHC01
2026-04-30,公式戦,広島,ビジター,3,巨人,NPB20260430YGHC01
2026-04-30,公式戦,ヤクルト,ホーム,2,阪神,NPB20260430YSHT02
2026-04-30,公式戦,阪神,ビジター,10,ヤクルト,NPB20260430YSHT02
