date,game_id,home,away,home_score,away_score,stadium,start_time
2026-05-24,NPB20260524YGHT01,巨人,阪神,3,6,東京ドーム,14:00
2026-05-26,NPB20260526DBB03,DeNA,オリックス,1,7,横 浜,17:45
2026-05-26,NPB20260526CDE04,中日,楽天,1,0,バンテリンドーム,18:00
2026-05-26,NPB20260526HCM06,広島,ロッテ,1,3,マツダスタジアム,18:00
2026-05-26,NPB20260526HTF05,阪神,日本ハム,0,4,甲子園,18:00
2026-05-26,NPB20260526YGSH01,巨人,ソフトバンク,3,8,東京ドーム,18:00
2026-05-26,NPB20260526YSL02,ヤクルト,西武,1,2,神 宮,18:00
2026-05-27,NPB20260527DBB03,DeNA,オリックス,2,5,横 浜,17:45
2026-05-27,NPB20260527CDE04,中日,楽天,7,2,バンテリンドーム,18:00
2026-05-27,NPB20260527HCM06,広島,ロッテ,4,5,マツダスタジアム,18:00
2026-05-27,NPB20260527HTF05,阪神,日本ハム,2,5,甲子園,18:00
2026-05-27,NPB20260527YGSH01,巨人,ソフトバンク,5,1,東京ドーム,18:00
2026-05-27,NPB20260527YSL02,ヤクルト,西武,2,2,神 宮,18:00
2026-05-28,NPB20260528DBB03,DeNA,オリックス,3,1,横 浜,17:45
2026-05-28,NPB20260528CDE04,中日,楽天,2,1,バンテリンドーム,18:00
2026-05-28,NPB20260528HCM06,広島,ロッテ,3,6,マツダスタジアム,18:00
2026-05-28,NPB20260528HTF05,阪神,日本ハム,2,4,甲子園,18:00
2026-05-28,NPB20260528YGSH01,巨人,ソフトバンク,4,8,東京ドーム,18:00
2026-05-28,NPB20260528YSL02,ヤクルト,西武,0,8,神 宮,18:00
2026-05-29,NPB20260529BCD05,オリックス,中日,1,5,京セラD大阪,18:00
2026-05-29,NPB20260529EYS02,楽天,ヤクルト,2,7,楽天モバイル,18:00
2026-05-29,NPB20260529FYG01,日本ハム,巨人,2,4,エスコンＦ,18:00
2026-05-29,NPB20260529LDB03,西武,DeNA,13,4,ベルーナドーム,18:00
2026-05-29,NPB20260529MHT04,ロッテ,阪神,0,1,ZOZOマリン,18:00
2026-05-29,NPB20260529SHHC06,ソフトバンク,広島,2,0,みずほPayPay,18:00
2026-05-30,NPB20260530BCD05,オリックス,中日,3,1,京セラD大阪,14:00
2026-05-30,NPB20260530EYS02,楽天,ヤクルト,7,8,楽天モバイル,14:00
2026-05-30,NPB20260530FYG01,日本ハム,巨人,3,5,エスコンＦ,14:00
2026-05-30,NPB20260530LDB03,西武,DeNA,6,0,ベルーナドーム,14:00
2026-05-30,NPB20260530MHT04,ロッテ,阪神,3,4,ZOZOマリン,14:00
2026-05-30,NPB20260530SHHC06,ソフトバンク,広島,4,2,みずほPayPay,14:00
2026-05-31,NPB20260531BCD05,オリックス,中日,7,5,京セラD大阪,13:00
2026-05-31,NPB20260531EYS02,楽天,ヤクルト,1,2,楽天モバイル,13:00
2026-05-31,NPB20260531FYG01,日本ハム,巨人,3,0,エスコンＦ,13:00
2026-05-31,NPB20260531MHT04,ロッテ,阪神,4,2,ZOZOマリン,13:00
2026-05-31,NPB20260531SHHC06,ソフトバンク,広島,3,1,みずほPayPay,13:00
2026-05-31,NPB20260531LDB03,西武,DeNA,0,6,ベルーナドーム,14:00
